cycle,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12
70,0.09810572956897967,0.11347774657373878,0.022226226662535303,0.0951186079518838,0.01891869461454717,0.009884909432245029,0.02535106137430694,0.04714271452484836,0.01959378908823362,0.017453175681531707,0.022680591903436676,0.011452191956526102,0.017094296525438202
71,0.09238488213509301,0.10716255288558318,0.02671605321851106,0.0852864368052289,0.023351018253055866,0.014103137297712296,0.01870400756598777,0.0487733086473934,0.03659515968411886,0.02121493287350195,0.016738047173299436,0.009277320265450827,0.04261041867318146
72,0.0918434288823477,0.109364774801698,0.043108338446795146,0.0756911609890792,0.015618308289107848,0.012338146167398539,0.008945939742125066,0.042874910592993094,0.03058049607777556,0.021429329051197526,0.03459103672431708,0.007708111815832599,0.03911707032971022
73,0.09752631872250722,0.10331245620160052,0.04031929380311555,0.06608442095651798,0.027411527916983907,0.009478997036695391,0.010748999438030296,0.04409475007639351,0.04020149212457321,0.008312807642461865,0.02395503919978931,0.005813717096836664,0.0442335489131512
74,0.0919530209280766,0.1120057071715578,0.0026951254733688476,0.07918621276718943,0.0333680883504253,0.00808802682220431,0.006658668980276601,0.048986143052560584,0.0427073208337072,0.025680493048626154,0.01886933975771449,0.021337721824421417,0.035016849794319405
75,0.103930611882847,0.10575832919136026,0.033485186931835144,0.07401151476985975,0.046424012661293236,0.011111325083408162,0.0220220220870611,0.050803939276437955,0.03482760621112112,0.03134275140556619,0.025253520543414842,0.022066688118507687,0.030948692932834098
76,0.11717382063914847,0.11869239551402558,0.032950906932881184,0.07722871270006969,0.05459743928210936,0.03683713477230635,0.02322592930173526,0.05457021626354298,0.030608804268328193,0.026533373380131686,0.03291153208474681,0.012958812233080572,0.02818182822743298
77,0.10710626184500972,0.1218824128880773,0.036104334305143704,0.06214168281945727,0.05428047096568242,0.03900868814867023,0.027434223489258825,0.047166852375248786,0.023439358232387793,0.017700669774786952,0.04447881509972038,0.015402840850864472,0.031247728424658477
78,0.09363658098610658,0.1281588470833955,0.0497929069891124,0.0555017284389377,0.0441006256701173,0.051226018472155625,0.03329745018165013,0.0521914994843086,0.0162685917975476,0.036862922019321835,0.036741030249665574,0.01720278237050002,0.026158452063319737
79,0.07807388231857795,0.10751660813223292,0.049198270100218905,0.06393912626982463,0.04138928838495509,0.03639685412560082,0.03842788368220871,0.059522698536046956,0.00750051728263042,0.021371730501570037,0.031961730769317395,0.010323733502526872,0.03605730752044666
